ID;alim_grp_code;alim_ssgrp_code;alim_grp_nom_eng;alim_ssgrp_nom_eng;alim_code;alim_nom_eng;Water (g/100g);Protein (g/100g);Carbohydrate (g/100g);Fat (g/100g);Sugars (g/100g);glucose (g/100g);lactose (g/100g);has_lactose;has_seafood;has_egg
134;1;103;starters and dishes;dishes;25540;Shrimps on skewer;75;18.5;1.5;1.5;0;0;0;0;0;0
135;1;103;starters and dishes;dishes;26054;Fish, in sauce, frozen;75;13.3;3.18;7.05;1.3;0;0;0;0;0
136;1;103;starters and dishes;dishes;26140;Fish, cooked (average);69.3;23.5;0;5.52;0;0.0015;0.0015;0;0;0
137;1;103;starters and dishes;dishes;26249;Fish, white, without skin, cooked;74;22;0;2.18;0;0;0;0;0;0
138;1;103;starters and dishes;dishes;26250;Marine fish, white, without skin, cooked;74;22.1;0;2;0;0;0;0;0;0
139;1;103;starters and dishes;dishes;25031;Paëlla;66.9;7.86;17.1;4.9;1.2;0.43;0.2;0;0;0
140;1;103;starters and dishes;dishes;25107;Couscous w fish;75.6;7.5;14.2;1.6;1.7;0;0;0;0;0
141;1;103;starters and dishes;dishes;25154;Fish brandade or fish shepherd's pie, ;74.9;6.39;8.57;6.15;1.62;0.23;0.73;0;0;0
142;1;103;starters and dishes;dishes;25456;Sushi or maki with seafood products;60.3;6.69;26.9;3.7;4.93;2.28;0.1;0;0;0
143;1;103;starters and dishes;dishes;8296;Vegetable terrine or mousse;75.9;4.05;5.6;9.56;1.77;0;0;0;0;0
144;1;103;starters and dishes;dishes;8297;Vegetable flan;68;5.38;4.13;18.6;2.06;0.46;1.01;0;0;0
145;1;103;starters and dishes;dishes;20194;Haricot beans with tomato sauce, canned;78.9;4.67;10.1;0.4;1.65;0.3;0;0;0;0
146;1;103;starters and dishes;dishes;20240;Piperade, Basque-style (fondue of sweet peppers and tomatoes flavoured with onions and garlic), ;84.5;1.1;6.5;3.8;4.9;1.74;0.2;0;0;0
147;1;103;starters and dishes;dishes;20262;Vegetables pan-fried without mushrooms, frozen, raw;81.7;2.6;12.1;1.77;1.5;0.34;0;0;0;0
148;1;103;starters and dishes;dishes;20273;Vegetables pan-fried or stir-fried, Asian-style, frozen, raw;0;3.13;5.83;3.93;3.1;0;0;0;0;0
149;1;103;starters and dishes;dishes;20274;Grilled vegetables pan-fried, Mediterranean-style, frozen, raw;86.5;1.61;4.33;1.77;2.66;1;0.3;0;0;0
150;1;103;starters and dishes;dishes;20498;Vegetables pan-fried with mushrooms (country-style), frozen;91.4;1.89;3.59;1.21;1.81;0.82;0;0;0;0
151;1;103;starters and dishes;dishes;25018;Ratatouille cooked, ;88;1.22;4.97;3.15;3.91;1.5;0.2;0;0;0
152;1;103;starters and dishes;dishes;25026;Spinach w cream sauce, ;86.9;2.5;4.1;2.9;1.19;0.1;1.07;0;0;0
153;1;103;starters and dishes;dishes;25052;Eggplant au gratin(oven grilled);80.9;1.95;5.45;8.68;3.8;0;0;0;0;0
154;1;103;starters and dishes;dishes;25056;"Dauphiné-style creamed potatoes ""au gratin""";74.7;3.38;14.5;4.2;2.08;0.26;0.94;0;0;0
155;1;103;starters and dishes;dishes;25073;Chicory w ham;78.4;7.44;4.71;6.3;1.98;0.66;1.08;0;0;0
156;1;103;starters and dishes;dishes;25101;Cauliflower au gratin (oven grilled), ;82.1;3;3.3;6.5;0.88;0.38;0;0;0;0
157;1;103;starters and dishes;dishes;25162;Vegetables au gratin (oven grilled);79.6;3.44;6.91;6.7;3.42;0.66;1.58;0;0;0
158;1;103;starters and dishes;dishes;25196;Riste (Eggplant, tomatoes, onions), ;0;1.05;10.6;10.4;5.2;1.5;0;0;0;0
159;1;103;starters and dishes;dishes;25199;Vegetable rosti, pre-fried, frozen;79.4;3.29;10.7;5.44;3.34;0.47;0;0;0;0
160;1;103;starters and dishes;dishes;25208;Vegetable rosti, pre-fried, frozen, cooked;78.2;3.31;8.45;5.7;3;0.8;0.7;0;0;0
161;1;103;starters and dishes;dishes;25220;Sauerkraut, without garnish, drained, cooked;85.6;1.38;0.1;6.6;0.2;0.2;0.2;0;0;0
162;1;103;starters and dishes;dishes;25524;Provencal-style tomato (breaded tomatoes stuffed with garlic and parsley), home-made;83.6;1.65;6.55;4.32;2.71;0;0;0;0;0
163;1;103;starters and dishes;dishes;25556;Vegetable fritters;64.8;3.52;23;8.52;3.03;0;0;0;0;0
164;1;103;starters and dishes;dishes;25571;Falafel;48;8.25;18.7;14.4;1.4;0.3;0.2;0;0;0
165;1;103;starters and dishes;dishes;25588;Vegetables au gratin (oven grilled) in bechamel sauce;79.9;3.64;6.74;6.5;3.2;0.58;1.55;0;0;0
166;1;103;starters and dishes;dishes;25590;Falafel, ;55.7;7.38;17.7;10.8;3.57;0.55;0.1;0;0;0
167;1;103;starters and dishes;dishes;9082;Durum wheat, pre-cooked, cooked, in a microwaveable bag;57;4.93;29.5;4.84;2.21;0;0;0;0;0
